NOMBRE DEL MURO
acero g60
INTERVALO DE DISCRETIZACIÓN (MM)
0.005
NUMERO DE DATOS DE LA ENVOLVENTE
472
DESPLA (MM)	CARGA (KG)
0.00000	1
0.00000	29
0.00008	148
0.00012	186
0.00011	222
0.00011	233
0.00010	268
0.00012	297
0.00011	323
0.00014	348
0.00016	378
0.00017	413
0.00018	439
0.00019	465
0.00020	492
0.00021	518
0.00023	546
0.00025	573
0.00024	601
0.00026	630
0.00027	659
0.00029	688
0.00031	717
0.00031	748
0.00032	778
0.00036	810
0.00037	842
0.00038	876
0.00039	910
0.00040	945
0.00041	979
0.00042	1015
0.00044	1050
0.00045	1087
0.00047	1124
0.00048	1164
0.00049	1204
0.00051	1245
0.00052	1287
0.00054	1329
0.00056	1372
0.00061	1416
0.00063	1463
0.00066	1510
0.00068	1558
0.00069	1607
0.00073	1657
0.00074	1706
0.00077	1757
0.00078	1808
0.00080	1861
0.00083	1914
0.00086	1968
0.00090	2023
0.00091	2080
0.00095	2137
0.00097	2194
0.00100	2252
0.00104	2310
0.00105	2368
0.00108	2429
0.00111	2490
0.00114	2552
0.00120	2615
0.00122	2678
0.00125	2742
0.00127	2806
0.00130	2873
0.00135	2941
0.00136	3009
0.00139	3077
0.00143	3147
0.00146	3218
0.00149	3289
0.00153	3361
0.00158	3437
0.00165	3514
0.00167	3593
0.00170	3673
0.00174	3754
0.00178	3834
0.00181	3917
0.00185	4003
0.00190	4088
0.00192	4173
0.00196	4259
0.00200	4345
0.00204	4431
0.00211	4516
0.00214	4603
0.00217	4690
0.00222	4777
0.00226	4864
0.00231	4951
0.00235	5037
0.00238	5124
0.00243	5212
0.00246	5300
0.00250	5386
0.00254	5473
0.00259	5559
0.00265	5645
0.00269	5731
0.00274	5815
0.00278	5899
0.00283	5979
0.00289	6060
0.00295	6138
0.00303	6215
0.00308	6289
0.00313	6355
0.00319	6425
0.00326	6493
0.00333	6558
0.00341	6622
0.00347	6684
0.00355	6742
0.00361	6798
0.00369	6854
0.00377	6907
0.00384	6957
0.00391	7007
0.00400	7054
0.00407	7098
0.00416	7142
0.00424	7184
0.00432	7225
0.00438	7264
0.00447	7302
0.00453	7338
0.00461	7372
0.00469	7407
0.00478	7441
0.00484	7472
0.00492	7503
0.00502	7532
0.00510	7561
0.00518	7588
0.00526	7614
0.00535	7641
0.00542	7665
0.00553	7689
0.00560	7713
0.00569	7735
0.00578	7756
0.00586	7777
0.00593	7798
0.00603	7817
0.00610	7836
0.00621	7854
0.00628	7872
0.00637	7887
0.00645	7904
0.00652	7920
0.00661	7936
0.00672	7951
0.00677	7965
0.00685	7979
0.00693	7992
0.00701	8006
0.00709	8019
0.00717	8030
0.00725	8042
0.00735	8054
0.00745	8065
0.00754	8076
0.00762	8087
0.00772	8097
0.00780	8107
0.00789	8117
0.00797	8126
0.00804	8135
0.00813	8144
0.00820	8152
0.00829	8161
0.00836	8168
0.00845	8177
0.00853	8184
0.00862	8191
0.00870	8199
0.00878	8206
0.00885	8213
0.00894	8219
0.00902	8226
0.00910	8232
0.00918	8238
0.00925	8244
0.00934	8250
0.00942	8255
0.00950	8260
0.00960	8266
0.00968	8271
0.00976	8276
0.00986	8280
0.00993	8285
0.01001	8290
0.01009	8294
0.01017	8299
0.01025	8303
0.01033	8306
0.01040	8310
0.01046	8314
0.01057	8317
0.01066	8315
0.01072	8318
0.01080	8321
0.01085	8324
0.01093	8328
0.01102	8331
0.01109	8334
0.01115	8336
0.01123	8339
0.01130	8342
0.01135	8345
0.01141	8347
0.01149	8349
0.01155	8352
0.01163	8354
0.01169	8355
0.01177	8358
0.01182	8360
0.01189	8362
0.01194	8363
0.01202	8365
0.01208	8367
0.01213	8367
0.01219	8368
0.01225	8370
0.01230	8371
0.01235	8371
0.01241	8370
0.01246	8370




























